real,prediccion
50000,61701.51
94624,125965.34
114352,123396.81
490287,414433.97
72916,83878.89
154110,181021.06
616587,572992.31
505771,537033.99
77822,140460.83
126851,158416.59
81718,111403.81
56041,106661.49
168122,159987.99
100092,124465.59
135162,127853.4
244763,300659.29
342913,382158.36
97812,85825.47
377983,350837.08
293839,358677.62
487393,477600.52
50000,52251.57
349282,375702.12
117170,63850.49
330294,349416.8
225906,223265.08
106869,95763.28
56382,93801.62
364355,417377.81
111441,116628.47
350312,318037.43
288276,296596.98
118631,102075.56
128220,139057.69
498903,494076.65
208401,269736.42
555323,565328.75
401009,384521.63
98464,87376.32
437657,390020.79
321779,294561.34
252672,243324.51
50000,61324.83
125811,199466.2
120642,100641.67
119988,96161.26
205935,275407.03
611722,634447.83
135822,124709.91
265060,267710.82
427508,325639.4
101552,83999.83
225701,124140.17
108590,139194.88
198079,256670.4
276577,268936.23
50000,78216.04
669376,550458.99
500000,417314.63
71029,93240.76
140858,134414.12
528739,507306.44
50000,70314.04
247094,198311.19
127932,60560.73
316269,337957.23
99444,80699.19
173560,131643.21
50000,72739.83
401757,371417.02
151588,136028.01
50000,89499.47
50000,56262.17
340272,348055.75
145848,139399.88
342279,321403.66
194335,208202.22
259123,269016.57
50000,68704.49
99252,83446.6
225667,271593.61
68362,89729.7
133003,106738.06
91685,95241.6
266944,270300.85
469195,451879.78
317638,321030.14
81341,81578.72
404586,415903.14
184419,194566.27
303076,311628.55
111677,110382.65
507399,493451.72
300728,233268.13
66406,90960.04
50000,53898.02
56725,72153.69
158812,161566.49
65572,71187.98
221288,228068.21
115310,143334.15
128233,94086.37
151535,141252.1
273208,276015.85
462556,418993.38
155452,133190.71
50000,56764.39
299907,283759.12
236076,220990.8
118494,128702.41
146429,176470.77
398150,333013.24
224381,243545.77
99015,89236.18
573460,449918.48
50000,107292.67
50000,73401.88
341664,352695.22
627825,495343.73
50000,61791.43
354913,409753.0
50000,65143.73
136408,125191.71
305894,304277.17
125380,140200.99
235484,292865.85
239757,276418.1
53332,68350.95
578116,583836.34
50000,60645.13
50000,61037.88
58928,73805.49
112124,108206.57
229108,225543.56
192858,252051.56
122571,138837.16
174568,219701.12
68866,77335.17
55276,99997.42
139017,60279.28
53187,62336.19
146337,145520.26
514863,466084.98
161813,193643.88
63407,65224.0
96066,145145.49
148920,120277.85
58077,65087.12
129887,117211.81
436215,401153.54
56683,74987.44
131772,127621.88
57320,58651.0
394618,412162.54
398036,398496.89
363606,356652.93
93817,74783.63
410421,422236.43
117178,101929.81
466571,478125.19
271082,227528.18
165450,137337.67
341821,333950.34
50000,93850.74
126651,108226.46
534334,507102.88
211672,135100.82
64773,69719.86
136704,140440.44
69792,68277.77
82995,90245.46
325639,354027.44
460622,447303.22
107609,117856.94
108422,101718.28
83616,96980.64
181472,281608.87
89458,80588.8
176501,211473.58
279081,292886.91
499158,545105.52
425017,340327.6
636166,647961.89
140956,266410.72
143028,106189.51
73926,80845.73
101615,146682.43
50000,52355.29
328488,345487.37
53198,112258.45
247941,230848.31
102392,99316.72
297630,350686.03
224988,270311.1
213365,253569.0
203154,305334.62
192861,84565.2
118582,113809.21
485255,541961.55
120546,100443.5
129137,160224.07
68045,130850.79
147434,108232.49
94000,58521.94
92923,92375.23
176010,122500.29
50000,70905.23
394734,451201.15
809387,744764.31
164870,125043.65
76765,78807.28
291218,296167.9
311439,267056.77
437684,423373.0
218528,252620.15
399322,384038.14
122960,84190.95
288121,442989.64
229276,218318.73
550202,546412.4
90305,104103.67
91113,104042.49
220413,200942.99
361908,332546.97
187794,232902.77
262201,302059.61
382322,324438.45
571931,527756.0
114952,142098.16
500505,394812.85
97171,106182.64
236459,251748.36
685044,604424.02
67400,103798.88
251373,306984.61
551966,637767.79
61860,105292.76
135789,65722.86
94195,126277.3
98169,93619.68
355538,322165.64
359342,282071.46
663286,562333.56
83727,75102.96
125939,135764.24
138215,146793.3
424393,365485.9
358189,336479.16
475966,437225.82
58712,62341.87
167839,145810.15
96718,85870.03
567876,472983.38
136344,96774.09
127247,127423.14
197040,238266.14
302269,328206.3
50000,107027.57
455963,455455.87
420225,419132.46
173828,208929.08
223437,133494.66
461354,413929.56
326889,382026.47
50000,84806.09
100309,90277.95
619012,606863.16
111630,104868.23
139166,138684.93
64644,80524.12
306777,306962.12
114180,61827.65
180747,127082.86
161347,126464.18
54782,68688.54
528679,449281.2
297336,262471.65
126266,98371.92
346473,320030.47
332187,384984.64
103438,86394.42
356570,291572.74
99138,93720.05
56663,67640.98
158170,112237.26
246754,148956.77
383354,500964.9
112255,152180.23
90766,109671.99
63325,77039.88
202251,178488.24
92498,108603.78
640275,575348.67
98553,89696.5
142367,124823.13
158840,138027.08
214603,146638.93
264432,257049.74
403815,365777.88
129378,73942.27
116057,74192.25
334380,262564.34
565479,551847.47
151164,137381.37
50000,71838.7
164679,142021.98
64560,76310.47
147789,206724.5
454180,498756.01
111048,102015.21
131460,104197.58
113085,82110.18
359695,296738.14
85699,74902.1
124239,124272.0
153282,146170.23
153027,157897.09
90705,103334.34
233908,298928.52
81053,84597.69
352762,427640.77
77442,86869.67
220107,190857.36
92709,59220.34
152130,210602.78
170825,126734.54
137087,185293.33
224234,243974.88
80345,91725.78
96305,101501.97
175853,172823.36
128459,100929.52
350923,323213.13
684302,662548.66
50000,109056.38
98152,109986.01
141674,95574.33
625175,608091.26
164356,190470.51
50000,111263.54
72803,88798.24
50000,58339.46
60571,65436.22
102113,91954.0
212154,224895.48
145367,135828.33
326693,308442.16
358505,326364.84
50000,64703.47
50000,112065.19
428776,475294.16
150302,132904.13
592515,490869.26
111679,138441.82
146763,142725.93
614864,587769.38
83436,133052.95
71286,78988.61
50000,72054.15
166854,105523.02
335305,307381.83
271896,244145.38
83531,92419.34
366590,425360.35
123889,118983.34
132164,161408.04
713565,672089.93
166610,74413.08
50000,58877.97
503004,484679.54
111669,106010.8
167536,157594.48
268533,333772.64
183505,253318.16
97489,116279.47
241194,250123.94
176153,123135.68
121535,133316.88
68566,65976.72
305508,329007.12
61455,117326.69
116000,124699.7
82556,115476.38
299720,384442.13
302358,320039.54
253372,260016.0
99045,91750.07
58776,75995.25
126544,101237.96
50000,67242.9
497034,434448.52
155127,158759.25
569937,524317.45
150739,168262.1
309655,365593.47
689803,587367.59
151720,141761.04
58272,79206.06
264430,256933.2
154371,136093.52
372208,404375.18
282831,367147.85
478454,476731.26
84420,126258.86
116775,100887.32
121982,79281.62
89827,91892.17
66487,97776.93
110001,99734.01
176422,165454.23
50000,59935.08
156477,135891.8
275616,272294.01
103026,61781.05
164528,143186.43
344129,263340.8
137023,156471.61
435989,400076.89
68296,70460.46
57256,65356.7
54764,73219.08
73316,66410.79
475352,428375.24
196857,147214.53
197077,169861.98
136779,95374.89
61053,91601.37
147527,185782.07
50000,139515.02
50000,61564.73
247934,284209.77
105429,109595.45
80546,78005.65
154616,130056.73
96320,63356.06
143633,88543.08
139480,99010.16
74187,74848.4
124952,84021.14
54605,62836.13
379370,379720.19
234310,259810.52
252042,227566.87
115627,144364.36
86898,118382.78
460622,448106.91
104128,79279.72
114572,132368.59
172860,192694.53
232400,240405.75
152073,157664.12
50000,63786.07
93078,129467.65
70350,84910.65
137954,159435.83
50000,69120.8
191595,164363.4
102491,102872.79
274372,248083.28
451411,422789.34
207316,146019.25
151718,150967.86
110465,125463.3
84313,111819.62
507022,500121.75
331802,321371.09
164456,158181.07
237215,266785.16
516996,498302.25
131680,135224.02
88257,124708.76
81675,113378.96
50000,98347.38
425703,345345.78
50000,62264.9
126111,114315.45
50000,107993.86
154187,149665.64
153192,140605.26
121871,167041.33
133007,140556.72
131478,62341.66
114870,80520.67
87285,89979.2
175714,129372.81
50000,75857.25
469862,449081.75
72305,78342.03
345084,349048.05
360448,384058.33
88335,154554.94
130393,93981.33
186403,161661.85
403793,378762.48
687642,515024.73
353832,406995.24
116433,132382.9
464358,417695.54
385549,345830.14
204740,189666.19
118765,139731.41
101620,153723.57
70770,85846.22
88175,114137.93
58142,93697.16
156245,140903.81
87659,80606.63
74810,72339.68
217301,232605.0
132927,109707.41
83960,68054.21
152322,163859.49
518487,495944.22
257777,214331.36
288215,259870.83
62099,129061.47
477523,428259.42
361182,353050.19
122479,112794.43
64242,69902.87
301296,395167.84
201005,121989.41
60030,65324.65
178662,99538.03
144240,118107.96
452329,414459.35
103565,120060.65
50000,63240.08
50000,60268.5
558525,492611.13
142104,132194.31
179519,157549.34
311107,304610.69
564253,492607.86
86541,136450.46
417101,442761.68
50000,84560.34
50000,84164.69
88492,63572.58
457990,478421.82
115014,93246.54
149366,156751.9
152646,142049.47
111505,114034.31
152426,139242.54
365628,388963.52
92235,66218.43
258992,255472.72
101431,104313.66
68681,89162.81
446196,465020.86
158368,130355.57
114763,98616.97
121725,154586.28
62338,106108.03
364248,389453.04
710609,594326.11
50473,80644.31
168963,130107.04
380881,314658.11
400225,380936.17
129227,80241.71
274511,286787.77
345730,330203.8
400510,447286.05
65729,61990.34
204163,232409.79
532511,535084.73
307240,239846.77
79929,75453.02
127945,131024.69
50000,58938.84
316751,278715.35
72370,68761.03
301598,318182.59
274891,283870.13
218792,194001.53
112464,92547.74
409369,383531.81
382511,419793.43
292957,230256.62
320520,309514.67
160909,138610.06
87110,136926.67
489606,398601.06
400386,381008.92
50000,60436.19
346839,433477.48
614690,680526.19
50372,106547.07
158020,175914.53
95629,102389.68
535461,466255.61
264670,242862.65
149419,170134.88
276428,302256.17
50000,64876.62
110712,117480.37
195897,173002.38
164028,193108.51
93688,109305.74
50000,60460.28
112766,80846.5
115856,68982.03
418383,453345.28
483061,514556.53
109658,116595.76
315118,301815.75
127303,117412.01
512920,516225.67
73194,89257.66
60957,75459.47
501992,537334.33
180613,182374.8
347713,332256.73
152116,120247.16
68691,89499.71
150432,88759.95
205675,144694.02
141452,165429.44
367735,381706.94
454714,477968.71
265280,207568.97
433162,447291.02
84460,96764.17
81569,86519.21
50000,60052.48
237768,304806.59
50000,76109.59
57284,90844.13
64322,115190.29
243324,266052.39
80492,116809.27
114886,113286.13
518345,524162.33
321789,259076.02
76407,103677.3
164355,95458.66
50000,72645.49
403065,310688.02
50000,89370.93
86094,148674.77
57477,60772.08
67825,67511.61
238040,218542.39
380419,406732.84
50000,59712.27
267646,292118.81
66021,60141.3
50000,53992.16
50248,86360.15
104108,135319.65
148828,134729.8
203415,162099.22
285244,294573.41
163788,143300.7
339523,233679.98
335933,284664.7
91662,65791.88
547117,606514.18
139702,163485.29
60315,66844.12
91149,69896.16
588423,545012.53
50000,59872.39
50000,84820.9
50000,68770.26
169436,240599.93
653408,583256.31
137143,114117.7
142097,128289.68
251312,276842.14
185637,173825.51
50000,105274.95
318486,301740.53
388443,383034.6
50000,83885.27
82956,114648.66
120798,130842.64
313662,327266.81
50000,78635.69
402369,397960.12
255764,282683.08
343232,332294.5
136171,146997.9
117830,96045.83
235711,225858.03
423928,377347.34
133107,70340.2
363848,316883.32
157678,135457.61
453102,480587.43
123008,125417.7
229229,248645.95
357821,377063.48
166147,131834.14
363264,370671.85
509850,492398.21
83988,83969.21
50000,91458.9
650903,620954.02
527657,468242.57
225813,234309.33
306577,346971.75
365230,389711.03
55681,71612.38
301944,347692.7
254731,333370.8
597817,633112.66
59748,74293.33
87240,67913.69
55280,75607.29
593442,596225.74
170296,144452.99
147412,123689.3
331679,360473.86
137160,103157.2
369384,379942.86
709205,731248.6
123374,100587.65
273017,295643.91
89683,71199.65
639539,576596.16
144933,128226.63
62464,79256.99
61911,82899.98
70680,118416.1
700635,606581.86
290538,315219.81
183799,154025.84
322969,313335.19
152126,84788.01
336344,337090.32
155643,147561.46
80159,81240.76
662701,604191.56
132030,156950.08
380882,395565.92
96358,96328.24
99248,145855.86
245919,176736.0
165044,201581.85
74033,67772.42
88260,86661.01
57011,61359.1
166041,103731.48
458460,489945.14
52729,68187.33
344113,342778.93
160294,170560.52
279047,295776.84
94992,85926.63
162367,207962.63
124025,98437.0
50000,62586.63
50000,56865.36
106490,139937.78
402160,530556.69
70705,94898.37
245008,201690.92
268807,276327.13
149929,128476.99
239931,222077.97
726782,665172.87
269665,297535.89
120949,122171.21
196072,152840.94
229218,257827.91
367030,368551.27
59276,69163.15
127394,113425.0
635284,647810.22
50000,66545.57
381185,371996.52
98675,102970.1
143963,198004.05
156970,136949.9
166543,213253.24
108686,123921.08
635809,573636.26
470118,394283.41
77564,88363.63
148997,75661.13
105675,132789.93
157781,95906.77
541663,507801.11
778860,738113.54
122161,111739.03
257146,289486.6
126920,114281.33
227442,207832.13
58313,97704.57
135870,126094.82
150075,93971.36
460602,489708.97
271180,310270.03
147244,189871.04
146233,105577.95
120097,130874.78
60782,205304.08
133691,125371.21
50000,63852.57
387470,348058.86
219581,292629.32
50000,81365.59
455940,536304.05
163892,81086.12
314466,276562.61
161547,120331.49
507841,517676.45
462860,421327.28
544815,587474.02
50000,72457.2
126257,103335.97
317090,334894.03
64834,69310.51
67028,103267.44
100944,103044.42
116778,162069.92
50000,84303.23
102548,109856.5
50000,73692.43
50000,79048.83
420269,419702.53
82904,66352.53
445171,536991.7
172729,180355.62
363619,431313.99
374959,361395.29
299602,270780.39
229648,264252.42
61180,86051.85
613310,583077.7
60317,73483.47
239182,253918.27
126928,144356.55
118941,178051.97
50000,71965.07
123775,110833.62
306727,343628.34
122011,116776.52
198675,191536.59
50000,62798.13
128932,112266.15
256217,241456.25
57234,67054.97
50000,79038.8
391352,393109.47
75076,75227.31
82338,62938.23
631465,535263.8
528079,545742.09
121941,138286.69
396115,377392.47
50000,85351.57
491785,487112.99
92091,71769.94
275123,305546.99
416541,415649.85
320281,278965.54
158322,136737.35
50000,74406.59
98523,84586.59
109469,125570.12
139821,105585.66
77170,90592.72
168146,189890.24
53133,72716.73
101198,104498.21
130869,137851.86
285684,305070.38
173189,133858.86
135592,117808.88
52506,68920.09
358571,274269.49
50000,59892.22
137673,155129.0
755458,711681.28
138571,161014.21
50000,104720.92
495221,520478.65
123385,115770.26
50288,66183.86
165697,117350.09
386710,435375.19
208420,161602.35
227983,358473.92
271310,361378.25
549499,507529.92
114716,69818.65
81099,140005.06
59332,64834.99
224054,206293.65
50000,57863.45
73727,68526.85
426657,357242.28
481090,436464.04
565806,540922.56
110025,96747.37
122236,97777.43
194686,196962.33
102306,125660.68
461734,438997.57
105383,87204.91
170023,208374.94
67740,98154.29
141206,136885.82
500376,498421.66
115085,182974.81
620150,503787.21
464430,432079.74
247228,231224.76
128072,92340.23
565819,637948.09
233064,230787.27
271303,256184.51
113891,153516.73
76786,87569.54
234767,321306.75
148905,141777.43
400772,380388.79
55658,74116.05
393208,388861.56
155951,162235.01
593481,623536.46
154832,137486.23
140357,152057.07
116004,124745.95
50000,63414.45
388326,410586.83
257472,269317.49
555080,562524.41
494401,444079.92
333952,315429.29
416746,510143.84
109156,112620.29
50000,78112.12
230823,233684.47
110302,117754.77
330274,404459.41
305021,347338.23
87747,69792.23
93430,115203.63
497368,436284.64
540879,558730.84
136463,133066.4
99596,133722.28
51938,68876.1
157673,134850.11
109203,122839.88
84462,113344.01
52581,93338.13
130366,92001.83
90126,86994.75
71917,94171.39
242578,238193.83
50000,81758.9
93342,62596.82
63026,69154.98
642986,630058.66
85080,145136.53
250395,233376.36
50000,66381.85
156652,152904.4
98055,102377.45
578648,600598.75
419628,413683.27
157169,154359.4
340303,310812.72
618205,529137.51
136088,107656.94
537669,496007.91
469001,429629.04
385779,330956.38
211984,124834.37
160874,152058.84
278018,306098.99
51532,68908.65
86645,75055.59
80434,71069.86
534874,523167.0
311022,309971.72
235970,226192.46
116532,99667.19
104130,101386.43
234056,163937.46
425505,401860.4
183027,119262.66
438523,426134.29
360396,411258.69
131180,68292.71
113131,74864.51
102404,96917.64
50000,74443.04
137489,89792.57
114737,87410.89
50000,67122.75
92907,138420.73
285193,271915.02
501839,505261.97
497804,456675.99
236571,220768.74
65946,89211.91
227441,193616.31
136204,167182.05
92702,103710.66
318752,569015.63
50000,131523.78
562180,507637.41
71783,93574.74
188758,128572.03
598806,620837.16
50000,65615.68
101632,86110.91
593311,584821.73
50000,82341.57
523922,461794.86
60044,69847.38
149927,116240.54
240515,321361.42
343247,324635.15
239492,240605.06
393372,411605.43
193061,155963.51
79353,67892.25
70954,68002.46
133708,212172.83
276496,317357.85
189462,153584.43
82227,106469.14
570515,645147.21
55474,108268.84
345851,342935.0
324407,336096.97
298799,293678.09
522810,445174.21
252265,259494.4
249627,330423.24
436038,454157.89
236950,266488.73
155433,101810.69
81623,75495.76
113950,131534.43
98849,125621.22
275726,248118.59
50000,60429.62
57685,79865.19
54826,56258.4
180422,196377.46
189724,241337.67
474429,377971.96
121997,149574.73
50000,62872.99
72311,100697.73
85398,91911.14
274911,297913.5
560687,492391.28
86025,133202.02
50000,51569.15
151934,139583.69
50000,97880.36
97955,104461.94
465302,402821.47
50000,55467.79
80418,102132.15
98908,127392.68
89648,82060.7
429705,406192.46
119698,146924.06
50000,78612.22
358945,346581.91
131232,119970.87
276169,272951.9
105989,134677.79
50000,71014.73
248956,259082.06
210978,140154.1
155774,135298.18
473129,540750.09
133357,157288.94
476872,511988.79
446498,455803.89
144521,217426.39
181727,254429.43
58217,90953.31
460041,502432.91
107219,91350.24
346612,357234.74
52353,70620.21
94464,113805.19
269673,256002.97
57333,141643.56
50000,69920.44
138111,132096.09
205149,244628.97
390120,336740.71
175403,165010.59
53343,109150.22
167625,159641.13
634648,597735.02
536395,495375.81
227306,185299.49
50000,71719.48
50000,61175.21
317287,285940.79
50000,65596.92
136195,106624.75
50000,71928.63
100696,130791.98
248303,270196.91
326224,265799.72
84079,116655.45
50000,91191.37
204939,194847.81
577571,541016.25
235923,207070.22
230179,226837.87
160431,134721.18
108924,98792.36
171869,300455.87
108365,116351.43
74904,73323.28
331296,330979.62
219413,238989.11
243899,315222.87
301762,352273.81
116931,70473.91
591520,545349.33
77937,88239.98
81487,66765.96
121168,82476.21
743106,600204.69
143249,112903.55
269950,238694.04
335491,314890.24
127605,133020.8
56904,71700.25
50000,55609.05
133057,181094.13
104819,87728.24
329633,331327.36
50000,94144.3
405993,445025.57
68683,95161.67
540376,536392.9
99194,84336.5
149309,128395.28
168062,141826.57
156425,209577.95
85232,112653.18
85113,92648.24
276266,281136.46
207932,175170.05
69497,55531.17
60911,84554.85
87217,86831.53
114843,117190.5
115109,90221.29
62476,87705.28
71058,67151.34
271016,278273.55
442900,473117.25
70601,70082.01
751364,717590.16
63572,85591.06
199823,200036.93
60549,72718.29
50000,61124.08
127079,78598.99
184594,178419.75
135823,115019.81
665786,594424.76
102230,124847.62
138292,133702.33
86676,131744.56
50000,63403.07
57974,70454.94
359353,341501.25
112868,99696.04
133486,110774.28
103366,96342.62
150448,99391.27
418582,454950.84
137958,86338.18
283756,250139.02
83969,120665.16
96182,120457.27
103843,87815.02
191207,207656.05
50000,65210.6
224085,211939.17
96294,86045.81
395602,363957.98
136602,141523.01
222469,151693.35
190971,151158.17
469538,494180.68
145081,122191.71
67994,80499.22
50947,69931.21
198647,137655.74
216558,146500.41
615770,646395.84
106838,241474.24
145273,139497.57
182768,146829.62
339796,347488.24
277512,379758.83
77926,87682.8
681694,699295.52
289028,351296.33
122977,135209.44
223897,250007.43
162380,125732.92
120019,72946.91
627365,592279.04
254268,254176.63
64385,59962.26
111304,92219.89
50000,69216.65
398150,372716.26
50000,65027.57
700929,724195.73
111939,129650.25
126257,123917.44
98157,128298.9
114631,126822.79
123300,113474.45
50000,67425.3
336811,352826.99
270500,304088.83
469681,481925.28
88575,117459.53
140806,160195.71
78492,77181.08
98495,82609.28
55487,89949.69
539457,517901.83
50000,72132.01
95768,64021.08
50000,62339.33
198608,234100.21
59069,98304.82
101293,84925.8
110381,62857.86
113356,129682.27
154607,106970.32
592137,530253.89
111669,168188.11
50000,69019.35
113169,132124.88
50000,75501.66
301106,294881.78
105693,82560.83
91783,73420.51
50000,62674.96
408910,360595.51
331009,261194.9
430572,366577.05
137737,97802.98
183404,134574.16
134387,110548.53
143153,107590.6
468925,425342.43
396647,355006.63
395599,377725.31
527476,570246.1
106967,127570.63
174197,147088.4
357873,289112.32
154497,149004.94
82922,99998.87
144539,177613.75
81707,80451.84
133936,98326.57
131522,111159.07
99987,101883.09
140328,221408.8
247610,229571.46
614784,589460.41
530299,451222.58
302742,366784.38
272334,260330.0
87050,64605.62
60408,60318.86
304771,313404.42
244630,132849.18
359725,352111.42
350078,333536.97
88787,123122.14
319304,303704.96
50000,71930.36
393441,328409.41
351799,391869.15
436560,467633.67
311526,370035.24
315472,329251.33
289461,276387.35
177799,203813.99
572819,643469.18
51995,152361.93
107909,101719.9
50507,78598.0
326157,305626.82
94680,135114.66
58404,64775.3
162828,142429.84
624780,669130.41
115533,139874.66
379512,416933.19
135538,87654.11
482786,402524.86
145084,106793.0
187740,159587.33
123027,127712.36
359672,384338.58
130928,96193.94
243688,280556.87
167134,131767.52
171486,143733.15
344794,383009.04
600772,617086.18
50000,62723.86
50000,124784.46
54496,64456.38
141036,101405.2
299490,274981.03
121950,136047.28
131891,101842.4
